#This file contains information for processing Epoch 2 CHILES observing sessions
#Row number; Date; Filename; Bad Antennas; Reference Antenna(s); Scan list
0;20150225;13B-266.sb30134968.eb30452820.57078.09859436343;ea04,ea19,ea21,ea28;ea15,ea25,ea16; 
1;20150228;13B-266.sb30134968.eb30465086.57081.090475219906;ea04,ea19;ea15,ea16,ea22; 
2;20150303;13B-266.sb30135053.eb30467755.57084.082227430554;ea04,ea19;ea16,ea15,ea06; 
3;20150304;13B-266.sb30135138.eb30469849.57085.093345393514;ea24,ea17,ea02,ea14,ea19,ea04;ea06,ea08,ea16; 
4;20150312;13B-266.sb30134968.eb30474259.57093.09921111111;ea04,ea14,ea19;ea16,ea15,ea25; 
5;20150313;13B-266.sb30134968.eb30474720.57094.06873222222;ea17;ea16,ea15,ea06; 
6;20150315;13B-266.sb30134968.eb30477450.57096.05290840278;ea19;ea06,ea16,ea08; 
7;20150316;13B-266.sb30134968.eb30479375.57097.146173298606;ea19,ea04;ea16,ea08,ea06; 
8;20150318;13B-266.sb30134968.eb30483429.57099.04607552083;;ea16,ea08,ea06; 
9;20150319;13B-266.sb30134968.eb30485172.57100.08343835648;ea05,ea09;ea06,ea16,ea23; 
10;20150320;13B-266.sb30135053.eb30486659.57101.041192372686;ea04,ea05;ea06,ea23,ea25; 
11;20150321;13B-266.sb30135138.eb30495594.57102.12279165509;ea17;ea15,ea03,ea28; 
12;20150322;13B-266.sb30135138.eb30495601.57103.040126712964;;ea15; 
13;20150323;13B-266.sb30135053.eb30496696.57104.03301699074;ea17;ea16,ea15,ea22; 
14;20150324;13B-266.sb30135053.eb30508373.57105.020166180555;ea17;ea15,ea16,ea22; 
15;20150325;13B-266.sb30135138.eb30508986.57106.1087309838;;ea15; 
16;20150326;13B-266.sb30135053.eb30510477.57107.024570497684;ea20;ea15; 
17;20150327;13B-266.sb30135053.eb30512680.57108.051298645834;ea17,ea27;ea25,ea06,ea23; 
18;20150328;13B-266.sb30135053.eb30514045.57109.01143251157;ea11;ea16,ea15,ea22; 
19;20150329;13B-266.sb30135138.eb30514540.57110.0097362963;;ea05,ea25,ea28; 
20;20150330;13B-266.sb30135138.eb30514546.57111.02963542824;;ea15; 
21;20150331;13B-266.sb30135053.eb30515275.57112.00542263889;;ea02,ea23,ea25; 
22;20150401;13B-266.sb30135138.eb30516183.57113.065340416666;;ea16,ea09; 
23;20150402;13B-266.sb30135138.eb30516312.57114.0210734375;ea05,ea17,ea21;ea16,ea15,ea22; 
24;20150403;13B-266.sb30135138.eb30519238.57115.0392883912;;ea06,ea16,ea23; 
25;20150404;13B-266.sb30135138.eb30520248.57116.02406655093;;ea15; 
26;20150411;13B-266.sb30136049.eb30531208.57123.95220528935;ea09;ea15; 
27;20150417a;13B-266.sb30135223.eb30597159.57129.00021457176;ea26,ea17,ea14;ea06,ea16,ea23; 
28;20150417b;13B-266.sb30135223.eb30598886.57129.93538734954;ea26,ea17,ea14;ea06,ea16,ea23; 
29;20150418a;13B-266.sb30135970.eb30599378.57130.18514540509;ea14;ea15; 
30;20150418b;13B-266.sb30135308.eb30603995.57130.932695069445;ea14;ea15; 
31;20150419;13B-266.sb30135308.eb30612630.57131.92938252314;;ea06,ea16,ea23; 
32;20150420;13B-266.sb30135393.eb30614637.57132.979567685186;ea17;ea15,ea22,ea16; 
33;20150425;13B-266.sb30135308.eb30618677.57137.965970694444;;ea15; 
34;20150426;13B-266.sb30135393.eb30618908.57138.997228078704;ea17,ea10,ea14,ea21;ea06,ea16,ea23; 
35;20150427;13B-266.sb30135393.eb30620995.57139.90185869213;ea17;ea06,ea16,ea23; 
